# time(s) total(B)
0 0
0.241858 1829216
0.536904 1829936
0.894681 1831376
1.27455 1839064
1.52452 3959456
1.85926 7373144
2.07045 11420768
2.33075 13350360
2.62021 17147600
3.02276 20972656
3.26981 20011800
3.60782 19686568
3.9994 19947304
4.43126 20900776
4.7444 26079016
5.00099 24878544
5.30861 21661584
5.51445 21796776
5.83214 22214208
6.09067 23660496
6.50097 23262976
6.75739 24200024
7.06669 24054440
7.47673 26595568
7.80473 26572208
8.0507 30377440
8.37866 30944776
8.78879 27357744
9.03809 26869824
9.36646 27613280
9.61248 29491760
9.94047 30378864
10.3773 32756360
10.7873 33739224
11.2248 35818840
11.5271 36351816
11.7112 37901320
12.0073 37163416
12.2594 37482200
12.5126 39146056
12.7175 40066816
13.0033 40273224
13.4134 45563792
13.8357 49126728
14.0878 46245352
14.4878 46145632
14.8216 46146120
15.041 46146608
15.2749 46147584
15.5079 46177760
15.6922 47256600
15.8763 48176712
16.0605 48587120
16.2278 49641032
16.3791 50137528
16.432 50642744
16.4604 51151328
16.6446 50560216
16.8288 51104448
17.013 51498128
17.0585 51678992
17.0737 52507288
17.2169 53032368
17.2718 53563488
17.3753 54119592
17.4456 55082048
17.6298 54613072
17.8141 55200336
17.9984 55664752
18.0014 55829448
20.5648 457804288
20.6403 457804288
23.1484 457805352
23.2883 726375928
74.4273 457804288
99.78 189367136
100.815 323857024
101.966 323857144
103.039 323857264
104.164 323857384
104.362 323857504
105.34 323857504
106.412 323857624
107.522 323857744
108.655 323857864
109.754 323857984
110.857 323858104
111.05 323858064
111.288 592034424
112.108 457816688
112.292 49454784
